gsmc,gzdd,gxsj,zwmc,zwyx
深圳腾讯计算机系统有限公司 ,北京,12-17,MIG15-语音识别算法研究员,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,WXG02-微信自然语言处理研发工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,17757-后台研发工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,OMG231-推荐算法工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,SNG12-游戏云架构师(北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,OMG096-后台开发工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,MIG16-基础架构高级工程师(北京),面议
深圳腾讯计算机系统有限公司 ,北京,12-17,MIG16-后台研发工程师（北京）,面议
深圳腾讯计算机系统有限公司 ,北京,12-17,MIG16-资深导航地图工程师(北京),面议
沈阳民航东北凯亚有限公司大连分公司,北京,12-17,手机开发工程师,10001-15000
沈阳民航东北凯亚有限公司大连分公司,北京,12-17,爬虫设计师,10001-15000
沈阳民航东北凯亚有限公司大连分公司,北京,12-17,Java软件工程师,面议
北京大德宽广科技有限公司,北京,12-17,IOS 开发,20000-25000
北京大德宽广科技有限公司,北京,12-17,web后端开发,20000-25000
北京大德宽广科技有限公司,北京,12-17,android 开发,20000-25000
北京大德宽广科技有限公司,北京,12-17,数据分析人员,10000-16000
东方口岸科技有限公司,北京,12-17,Java系统架构师,20001-30000
魔利互通(北京)信息技术有限公司,北京,12-17,需求工程师  需求分析师,8000-15000
魔利互通(北京)信息技术有限公司,北京,12-17,Java开发 J2EE工程师 软件开发工程师,8000-15000
魔利互通(北京)信息技术有限公司,北京,12-17,客户经理（快消行业背景）,15001-20000
培生(北京)管理咨询有限公司,北京,12-17,China Application Support Engineer,10001-15000
培生(北京)管理咨询有限公司,北京,12-17,Global Education - Information Technology BA,15000-20000
北京盛景恒丰天使投资咨询有限公司,北京,12-17,UI设计师,10001-15000
北京央美儿童美术文化传播有限公司,北京,12-17,php程序员 php网站工程师,8001-10000
深圳市精智人生文化传播有限公司,北京,12-17,高级研发（算法）工程师,15001-20000
北京小央美至艺文化传播有限公司,北京,12-17,php网站程序员,6001-8000
中声科技(北京)有限公司,北京,12-17,蓝牙软件工程师,10001-15000
北醒(北京)光子科技有限公司,北京,12-17,高级算法工程师,15001-20000
北醒(北京)光子科技有限公司,北京,12-17,嵌入式工程师,15001-20000
北京观景艺术发展有限公司,北京 - 海淀区,12-17,安卓开发工程师,8001-10000
新译信息科技(北京)有限公司,北京,12-17,苹果系统开发,10001-15000
新译信息科技(北京)有限公司,北京,12-17,安卓系统开发,10001-15000
北京观景艺术发展有限公司,北京 - 崇文区,12-17,安卓软件开发,8001-10000
成都医云科技有限公司,北京,12-17,.NET工程师,10001-15000
北京秦枫古典文化发展有限公司,北京 - 西城区,12-17,安卓工程师 给你想不到的高薪 还有年底分红,8001-10000
北京盘古奇点投资管理有限公司,北京,12-17,资深java工程师／架构师,20001-30000
北京互连众信科技有限公司,北京,12-17,JAVA高级开发工程师,10001-15000
北京秦枫古典文化发展有限公司,北京 - 海淀区,12-17,安卓程序工程师 我们有nice的团队 nice的薪资待遇 你还在等什么,8001-10000
烟台牧哲信息技术有限公司,烟台,12-13,平面设计/美工,2001-4000
烟台牧哲信息技术有限公司,烟台,12-13,软件测试实习生 带薪实习,2001-4000
烟台牧哲信息技术有限公司,烟台 - 莱山区,12-13,软件开发实习工程师,2001-4000
山东软程互联科技有限公司烟台分公司,烟台,12-12,底薪4000起招聘零基础开发实习生+五险一金+住宿,6001-8000
烟台汉玉实业有限公司,烟台 - 芝罘区,11-21,平面设计,6001-8000
烟台汉玉实业有限公司,烟台 - 芝罘区,11-17,网站美工,6001-8000
汽车之家 ,北京,12-17,iOS开发工程师(PMO),20001-30000
汽车之家 ,北京 - 海淀区,12-17,反作弊算法工程师,1000元以下
汽车之家 ,北京,12-17,算法高级工程师,20001-30000
汽车之家 ,北京 - 海淀区,12-17,大数据高级研发工程师,20001-30000
汽车之家 ,北京 - 海淀区,12-17,推荐引擎架构师(PMO),30001-50000
汽车之家 ,北京 - 海淀区,12-17,自然语言处理架构师,30001-50000
歌途网络科技有限公司,北京 - 通州区,12-17,电商美工,4001-6000
歌途网络科技有限公司,北京 - 昌平区,12-17,C++工程师,8001-10000
北京趣加科技有限公司,北京 - 海淀区,12-17,Mobile(IOS/Android) SDK Lead Engineer,30000-45000
华润双鹤药业股份有限公司,北京,12-17,ETL开发工程师,4001-6000
北京络捷斯特科技发展股份有限公司,北京 - 朝阳区,12-17,【急聘】java高级工程师（SpringMVC移动互联网方向）,10001-15000
北京微影时代科技有限公司,北京 - 朝阳区,12-17,Python运维开发工程师,13000-25000
北京精彩乐现科技有限公司,北京,12-17,【精彩乐现】北京 高薪+期权 诚聘【IOS高级软件开发工程师】,20001-30000
北京精彩乐现科技有限公司,北京 - 海淀区,12-17,【资深UI设计师】20000-30000+期权,20000-30000
北京精彩乐现科技有限公司,北京,12-17,高薪诚聘ios高级软件工程师,15001-20000
北京精彩乐现科技有限公司,北京,12-17,【精彩乐现】北京 高薪+期权 诚聘【WEB后台开发工程师】,15000-30000
北京华清远见科技信息有限公司,北京 - 海淀区,12-17,UI设计师/兼职讲师,8000-15000
北京华清远见科技信息有限公司,北京,12-17,ARM开发工程师/ARM驱动开发工程师/嵌入式ARM开发讲师,10001-15000
飞立股份有限公司,北京,12-17,PHP中/高级开发工程师,15000-25000
北京锐安科技有限公司,北京,12-17,数通多核软件工程师,10001-15000
米诺国际能源服务(北京)有限公司,北京 - 海淀区,12-17,信息技术专员,2001-4000
中软卓越,北京,12-17,Java系统开发实习生+上市+五险一金,4001-6000
北京锐安科技有限公司,北京,12-17,Java检索软件工程师,10001-15000
北京锐安科技有限公司,北京,12-17,java后台高级软件工程师,15001-20000
北京锐安科技有限公司,北京,12-17,资深Hadoop工程师,15001-20000
北京紫熙科技发展有限公司,北京 - 海淀区,12-17,C++软件开发工程师,8001-10000
北京东润环能科技股份有限公司,北京,12-17,数据工程师,15001-20000
北京东润环能科技股份有限公司,北京,12-17,GIS应用工程师（java开发）,10001-15000
北京东润环能科技股份有限公司,北京,12-17,java工程师,10001-15000
北京东润环能科技股份有限公司,北京,12-17,JAVA,10001-15000
北京东润环能科技股份有限公司,北京,12-17,JAVA软件工程师,10001-15000
呼和浩特市畅通驾驶员培训有限责任公司,北京,12-17,IOS高级研发工程师,6001-8000
北京锐安科技有限公司,北京,12-17,JAVAWEB中级软件工程师,10001-15000
北京锐安科技有限公司,北京,12-17,JAVA软件工程师（北京）,10001-15000
北京东润环能科技股份有限公司,北京,12-17,Hadoop工程师,15001-20000
中软卓越,北京,12-17,（高薪急聘）腾讯 储备人才/实习生,4001-6000
中软卓越,北京,12-17,计算机软件开发学徒（理工科专业优先+项目奖金）,8001-10000
北京锐安科技有限公司,北京 - 海淀区,12-17,数据库开发工程师,15001-20000
北京凤凰天博网络技术有限公司,北京,12-17,网络工程师,8001-10000
中软卓越,北京,12-17,java定岗生+上市公司带薪培养,6001-8000
呼和浩特市畅通驾驶员培训有限责任公司,北京,12-17,Android研发工程师,8001-10000
北京络捷斯特科技发展股份有限公司,北京 - 朝阳区,12-17,PHP高级工程师,10001-15000
北京叩富网络科技有限公司,北京 - 海淀区,12-17,PHP工程师,12000-24000
北京锐安科技有限公司,北京,12-17,大数据软件工程师,8001-10000
北京锐安科技有限公司,北京 - 海淀区,12-17,嵌入式Linux驱动开发工程师（高级）,10001-15000
北京锐安科技有限公司,北京,12-17,数通平台与驱动工程师,10001-15000
北京锐安科技有限公司,北京 - 海淀区,12-17,JAVA中级软件工程师（北京）,8001-10000
北京锐安科技有限公司,北京,12-17,高级数通平台与驱动工程师,15001-20000
北京锐安科技有限公司,北京 - 海淀区,12-17,JAVA后台软件工程师—大数据方向,10001-15000
歌途网络科技有限公司,北京 - 朝阳区,12-17,java工程师,12000-24000
北京易代储科技有限公司,北京 - 顺义区,12-17,Web前端工程师,12000-20000
北京锐安科技有限公司,北京 - 海淀区,12-17,C++Linux高级软件工程师,15001-20000
北京华欣物流有限公司,北京 - 丰台区,12-17,Java软件工程师（五险十三薪双休）,8000-12000
长安通信科技有限责任公司,北京,12-17,大数据研发工程师--第四事业部,面议
飞立股份有限公司,北京,12-17,DSP广告系统开发工程师,8001-10000
小能科技(北京)有限公司,北京,12-17,高级web前端工程师,15001-20000
北京科迈网通讯技术有限公司,北京,12-17,ERP运维（高级客服）,6001-8000
沈阳亿灵医药科技有限公司北京分公司,北京,12-17,PHP工程师,4001-6000
北京蓝色星际软件技术发展有限公司,北京,12-17,嵌入式软件开发（音视频方向）,10001-15000
北京蓝色星际软件技术发展有限公司,北京,12-17,高级嵌入式软件开发（音视频方向）,20001-30000
汽车之家 ,北京 - 海淀区,12-17,数据架构师,20001-30000
北京华欣物流有限公司,北京 - 丰台区,12-17,Java软件工程师（五险十三薪双休）,8000-12000
北京东润环能科技股份有限公司,北京,12-17,数据工程师,15001-20000
北京东润环能科技股份有限公司,北京,12-17,java工程师,10001-15000
北京东润环能科技股份有限公司,北京,12-17,JAVA,10001-15000
中软卓越,北京,12-17,计算机软件开发学徒（理工科专业优先+项目奖金）,8001-10000
北京华清易点科技有限公司,北京,12-17,Labview开发实习生（在校研究生实习）,4000-6000
上海迈外迪网络科技有限公司北京分公司,北京 - 朝阳区,12-17,Python开发工程师,10001-15000
北京易诚互动网络技术有限公司,北京 - 海淀区,12-17,高级java工程师,15001-20000
米诺国际能源服务(北京)有限公司,北京 - 海淀区,12-17,信息技术专员,2001-4000
北京东润环能科技股份有限公司,北京,12-17,GIS应用工程师（java开发）,10001-15000
北京络捷斯特科技发展股份有限公司,北京 - 朝阳区,12-17,PHP高级工程师,10001-15000
中软卓越,北京,12-17,Java系统开发实习生+上市+五险一金,4001-6000
北京锐安科技有限公司,北京,12-17,大数据软件工程师,8001-10000
北京微影时代科技有限公司,北京 - 朝阳区,12-17,PHP开发实习生,2001-4000
北京微影时代科技有限公司,北京 - 朝阳区,12-17,Python运维开发工程师,13000-25000
北京东润环能科技股份有限公司,北京,12-17,JAVA软件工程师,10001-15000
中软卓越,北京,12-17,（高薪急聘）腾讯 储备人才/实习生,4001-6000
中软卓越,北京,12-17,java定岗生+上市公司带薪培养,6001-8000
呼和浩特市畅通驾驶员培训有限责任公司,北京,12-17,IOS高级研发工程师,6001-8000
北京锐安科技有限公司,北京 - 海淀区,12-17,数据库开发工程师,15001-20000
北京锐安科技有限公司,北京,12-17,高级数通平台与驱动工程师,15001-20000
飞立股份有限公司,北京,12-17,PHP中/高级开发工程师,15000-25000
携程计算机技术(上海)有限公司 ,北京 - 海淀区,12-17,Java开发主管,20001-30000
郑州三友软件科技有限公司,北京,12-17,UI设计专员,5000-8000
郑州三友软件科技有限公司,北京,12-17,报表开发工程师,6000-10000
武汉虹旭信息技术有限责任公司,北京,12-17,机器学习研究员,20001-30000
聚美优品,北京,12-17,Python工程师,15001-20000
呼和浩特市畅通驾驶员培训有限责任公司,北京,12-17,Android研发工程师,8001-10000
北京叩富网络科技有限公司,北京 - 海淀区,12-17,PHP工程师,12000-24000
北京锐安科技有限公司,北京 - 海淀区,12-17,JAVA中级软件工程师（北京）,8001-10000
北京锐安科技有限公司,北京,12-17,JAVA软件工程师（北京）,10001-15000
北京锐安科技有限公司,北京,12-17,java后台高级软件工程师,15001-20000
北京凤凰天博网络技术有限公司,北京,12-17,网络工程师,8001-10000
北京紫熙科技发展有限公司,北京 - 海淀区,12-17,C++软件开发工程师,8001-10000
北京东润环能科技股份有限公司,北京,12-17,Hadoop工程师,15001-20000
飞立股份有限公司,北京,12-17,DSP广告系统开发工程师,8001-10000
北京锐安科技有限公司,北京,12-17,Java检索软件工程师,10001-15000
北京锐安科技有限公司,北京,12-17,数通多核软件工程师,10001-15000
